,index,name,online_order,book_table,rating,votes,location,rest_type,approx_cost,type
8918,9508,Satkar Restaurant,Yes,No,3.6,75,Electronic City,Quick Bites,350.00,Delivery
8919,9509,Yeruva Biriyani,Yes,No,3.5,40,Electronic City,Delivery,400.00,Delivery
8920,9510,Biryani Darbar,Yes,No,0,0,Electronic City,Quick Bites,550.00,Delivery
8921,9511,Swad 'E' Punjab,Yes,No,0,0,Electronic City,Quick Bites,500.00,Delivery
8922,9512,Kolkata Famous Kathi Rolls,Yes,No,3.5,14,Electronic City,Quick Bites,200.00,Delivery
8923,9513,Ambur Biriyani Classic,Yes,No,3.3,136,Electronic City,Casual Dining,700.00,Delivery
8924,9514,Marley's Bistro,Yes,No,3.9,93,Electronic City,Casual Dining,400.00,Delivery
8925,9515,Hyderabad Darbar,Yes,No,3.7,100,Electronic City,Casual Dining,700.00,Delivery
8926,9516,Hotel Sakti Saravana,Yes,No,3.8,67,Electronic City,Quick Bites,350.00,Delivery
8927,9517,Bowl House Kitchen,Yes,No,0,0,Electronic City,"Takeaway, Delivery",400.00,Delivery
8928,9518,Z Cafe,Yes,No,3.6,19,Electronic City,Quick Bites,300.00,Delivery
8929,9519,Swathi Restaurant - The Vintage Inn,Yes,No,3.8,36,Electronic City,Casual Dining,900.00,Delivery
8930,9520,Paratha House,Yes,No,3.6,33,Electronic City,Quick Bites,350.00,Delivery
8931,9521,The Mirchi,Yes,No,3.3,22,Electronic City,"Takeaway, Delivery",400.00,Delivery
8932,9522,Prem's Biriyani,Yes,No,3.3,7,Electronic City,Quick Bites,300.00,Delivery
8933,9523,Mast Punjabi Spice,Yes,No,2.9,34,Electronic City,"Takeaway, Delivery",400.00,Delivery
8934,9525,Bhukkads,Yes,No,3.2,63,Electronic City,Casual Dining,400.00,Delivery
8935,9527,Mamaji's,Yes,No,3.6,453,Electronic City,Casual Dining,600.00,Delivery
8936,9528,Bangaliana,Yes,No,3,61,Electronic City,Casual Dining,600.00,Delivery
8937,9529,Tuba Rolls & Snacks,Yes,No,3,58,Electronic City,Quick Bites,200.00,Delivery
8938,9530,Peril Enthirikkunnu,Yes,No,0,0,Electronic City,Quick Bites,250.00,Delivery
8939,9531,Wangs Kitchen,Yes,No,2.5,55,Electronic City,"Takeaway, Delivery",1000.00,Delivery
8940,9532,New Food Magic,Yes,No,3.2,153,Electronic City,Casual Dining,450.00,Delivery
8941,9533,True South,Yes,No,0,0,Electronic City,Quick Bites,200.00,Delivery
8942,9534,Akshara,Yes,No,3.8,42,Electronic City,Casual Dining,700.00,Delivery
8943,9535,Kittu's,Yes,Yes,4.2,800,Electronic City,Casual Dining,750.00,Delivery
8944,9536,EC Dine Restaurant,Yes,No,3.4,23,Electronic City,Casual Dining,500.00,Delivery
8945,9537,Bangarpet Chats Adda,Yes,No,0,0,Electronic City,Quick Bites,200.00,Delivery
8946,9538,Udupi Food Junction,Yes,No,3.5,9,Electronic City,Quick Bites,250.00,Delivery
8947,9539,She Brews,Yes,No,3.8,159,Electronic City,Cafe,400.00,Delivery
8948,9540,Maa Biryani Hyderabadi,Yes,No,2.6,59,Electronic City,Delivery,450.00,Delivery
8949,9541,Chef Baker's,Yes,No,3.8,101,Electronic City,"Bakery, Quick Bites",600.00,Delivery
8950,9542,Curries 'N' Phulkas,Yes,No,3.4,6,Electronic City,Quick Bites,250.00,Delivery
8951,9543,Donut Cafe,Yes,No,3.9,163,Electronic City,"Dessert Parlor, Quick Bites",250.00,Delivery
8952,9544,Halli Kitchen,Yes,No,2.5,63,Electronic City,Quick Bites,300.00,Delivery
8953,9545,Hotel Uma Bhai,Yes,No,3.7,38,Electronic City,Quick Bites,400.00,Delivery
8954,9546,Kettle & Kegs,Yes,No,3.1,16,Electronic City,Delivery,200.00,Delivery
8955,9547,Biggies Burger 'n' More,Yes,No,3.9,176,Electronic City,Quick Bites,650.00,Delivery
8956,9548,Vov Shawarma,Yes,No,3.2,6,Electronic City,Quick Bites,200.00,Delivery
8957,9549,7 Shanghai,Yes,No,3.5,18,Electronic City,Quick Bites,250.00,Delivery
8958,9550,Annapurna Andhra Hotel,Yes,No,3.3,5,Electronic City,Quick Bites,400.00,Delivery
8959,9551,Hotel Avakay,Yes,No,3.6,27,Electronic City,Casual Dining,550.00,Delivery
8960,9552,BIB - Breakfast in the Box,Yes,No,3.9,56,Electronic City,Quick Bites,600.00,Delivery
8961,9553,Chivi's Meilleurs Boulangers,Yes,No,3.4,12,Electronic City,Quick Bites,300.00,Delivery
8962,9554,Mr. Meetharam,Yes,No,3.3,7,Electronic City,Quick Bites,150.00,Delivery
8963,9555,King's Appetite,Yes,No,3.7,45,Electronic City,"Food Court, Quick Bites",500.00,Delivery
8964,9556,Thanco's Natural Ice Creams,Yes,No,3.7,54,Electronic City,Dessert Parlor,450.00,Delivery
8965,9557,Cakes Wagon,Yes,No,3.4,36,Electronic City,Bakery,600.00,Delivery
8966,9558,Cake Menu,Yes,No,3.3,23,Electronic City,Bakery,400.00,Delivery
8967,9559,A2B - Adyar Ananda Bhavan,Yes,No,3.1,352,Electronic City,Casual Dining,400.00,Delivery
8968,9560,Pot Biryani,Yes,No,2.8,297,Electronic City,Quick Bites,600.00,Delivery
8969,9561,Hottey Smokey,Yes,No,0,0,Electronic City,"Takeaway, Delivery",400.00,Delivery
8970,9562,OrganicFeast,Yes,No,2.9,45,Electronic City,Quick Bites,400.00,Delivery
8971,9563,Manasa Andhra Style Multi Cuisine Restaurant,No,No,3.6,70,Electronic City,Casual Dining,800.00,Delivery
8972,9564,Akkad Bakkad,Yes,Yes,3.9,72,Electronic City,Casual Dining,600.00,Delivery
8973,9565,Meat and Eat,Yes,No,3.4,19,Electronic City,Quick Bites,500.00,Delivery
8974,9566,The Chocolate Room,Yes,No,2.8,43,Electronic City,Cafe,600.00,Delivery
8975,9567,Hotel Shruthi,Yes,No,3.5,13,Electronic City,Quick Bites,200.00,Delivery
8976,9568,Kababish Restaurant,Yes,No,0,0,Electronic City,Quick Bites,500.00,Delivery
8977,9569,Crumbz Crunches,Yes,No,3.1,44,Electronic City,Quick Bites,450.00,Delivery
8978,9570,The Milkshake Co and More,Yes,No,0,0,South Bangalore,"Takeaway, Delivery",250.00,Delivery
8979,9571,Mumbai Kulfi,Yes,No,3.7,61,Electronic City,Dessert Parlor,100.00,Delivery
8980,9572,Alikemom,Yes,No,0,0,Electronic City,"Takeaway, Delivery",300.00,Delivery
8981,9573,Sky Lounge Bar - Svenska Design Hotel,Yes,Yes,4,537,Electronic City,"Bar, Casual Dining",1500.00,Delivery
8982,9574,Foodie Nation,Yes,Yes,3.5,89,Electronic City,Casual Dining,1000.00,Delivery
8983,9575,Chilli Park,Yes,No,0,0,Electronic City,Quick Bites,300.00,Delivery
8984,9577,Spicy Tandoor,Yes,No,2.7,39,Electronic City,"Takeaway, Delivery",400.00,Delivery
8985,9578,Messy's,Yes,No,3.8,108,Electronic City,Quick Bites,400.00,Delivery
8986,9579,Entree cafe,Yes,No,3.7,56,Electronic City,"Cafe, Bakery",400.00,Delivery
8987,9580,Rayalaseema Ruchulu SR,Yes,No,3.2,9,Electronic City,"Takeaway, Delivery",300.00,Delivery
8988,9581,Andhra Biryani & Curries,Yes,No,3.1,4,Electronic City,Quick Bites,400.00,Delivery
8989,9582,Reddy's Hyderabadi Biryani,Yes,No,2.7,76,Electronic City,"Takeaway, Delivery",500.00,Delivery
8990,9584,The Platonic Cafe,Yes,No,0,0,Electronic City,Cafe,500.00,Delivery
8991,9585,Juicy,Yes,No,3.9,37,Electronic City,"Beverage Shop, Quick Bites",200.00,Delivery
8992,9586,Flying Cakes,Yes,No,3.1,127,Electronic City,Bakery,500.00,Delivery
8993,9587,Manasa Cool Cafe,Yes,No,3.2,7,Electronic City,Cafe,300.00,Delivery
8994,9588,Godavari Delights,Yes,No,3,11,Electronic City,Casual Dining,400.00,Delivery
8995,9589,Domino's Pizza,Yes,No,2.7,477,Electronic City,Quick Bites,400.00,Delivery
8996,9590,Royal Iceberry,Yes,No,3.4,5,Electronic City,Dessert Parlor,200.00,Delivery
8997,9591,Biryani Darbar,Yes,No,3.3,12,Electronic City,Casual Dining,600.00,Delivery
8998,9592,Petoo,Yes,No,3.6,55,Electronic City,Food Court,400.00,Delivery
8999,9593,Just Cakes,Yes,No,3.4,22,Electronic City,Bakery,350.00,Delivery
9000,9594,Andhra Amigos,Yes,No,3.6,81,Electronic City,Casual Dining,350.00,Delivery
9001,9595,Kritunga Restaurant,No,Yes,3.8,473,Electronic City,Casual Dining,650.00,Delivery
9002,9596,Shake The Shake,Yes,No,0,0,Electronic City,Beverage Shop,200.00,Delivery
9003,9597,McDonald's,Yes,No,3.3,5,Bommanahalli,Quick Bites,500.00,Delivery
9004,9598,Uma Ki Rasoi,Yes,No,3.9,40,Electronic City,Quick Bites,250.00,Delivery
9005,9599,Chick Blast,No,No,3.3,6,Electronic City,Quick Bites,400.00,Delivery
9006,9600,Today Coffee,Yes,No,0,0,Electronic City,Quick Bites,150.00,Delivery
9007,9601,Sankalp Reddy Restaurant,Yes,No,3.9,33,Electronic City,Quick Bites,300.00,Delivery
9008,9602,Millennium Plaza,Yes,No,3.4,19,Electronic City,Casual Dining,700.00,Delivery
9009,9603,Sitara Veg Restaurant,Yes,No,3.9,417,Electronic City,Quick Bites,400.00,Delivery
9010,9604,Lassi Corner,Yes,No,3.7,28,Electronic City,Beverage Shop,150.00,Delivery
9011,9605,Sweet Chariot,Yes,No,3,60,Electronic City,Dessert Parlor,500.00,Delivery
9012,9606,Seasons,Yes,No,2.9,380,Electronic City,Casual Dining,1000.00,Delivery
9013,9607,Cedar Bar & Dive - Hotel Presidency,Yes,No,3.8,49,Electronic City,Bar,1200.00,Delivery
9014,9608,Juicemaker,No,No,3.9,31,Electronic City,Beverage Shop,400.00,Delivery
9015,9609,Cuppa,Yes,No,3,119,Electronic City,Cafe,700.00,Delivery
9016,9610,Lord of Combos,Yes,No,0,0,Electronic City,Quick Bites,500.00,Delivery
9017,9611,Just Bake,Yes,No,3.2,14,Electronic City,"Bakery, Quick Bites",400.00,Delivery
9018,9612,Vinaya Royal Inn,Yes,No,3.1,5,Electronic City,Casual Dining,500.00,Delivery
9019,9613,Bamboo Shades,Yes,No,2.8,48,Electronic City,Casual Dining,1000.00,Delivery
9020,9614,Meridian South - A Pure Vegetarian Restaurant,No,No,0,0,Electronic City,Casual Dining,600.00,Delivery
9021,9615,Tap House Resto Bar,Yes,Yes,3.4,184,Electronic City,"Casual Dining, Bar",900.00,Delivery
9022,9616,Kabab Souq,No,No,3.4,7,Electronic City,Quick Bites,400.00,Delivery
9023,9617,Aagaman Veg,Yes,No,0,0,Electronic City,Casual Dining,900.00,Delivery
9024,9618,French Bake House,Yes,No,3.7,91,Electronic City,Bakery,200.00,Delivery
9025,9619,Apsara Ice Cream,No,No,4,67,Electronic City,Dessert Parlor,200.00,Delivery
9026,9620,Mesa Deli - Svenska Design Hotel,Yes,Yes,3.2,9,Electronic City,Casual Dining,600.00,Delivery
9027,9621,Indian Kitchen - Hotel Presidency,Yes,No,3,8,Electronic City,Casual Dining,1000.00,Delivery
9028,9622,Salt N Pepper,No,No,3.6,74,Electronic City,Casual Dining,500.00,Delivery
9029,9623,Punjab Calling,Yes,No,3.7,10,Electronic City,Quick Bites,400.00,Delivery
9030,9624,Hanchi Thinnuva,Yes,No,3.5,17,Electronic City,Quick Bites,300.00,Delivery
9031,9625,Venadu Restaurant,No,No,3.4,7,Electronic City,Casual Dining,700.00,Delivery
9032,9626,Chill Out Cafe,No,No,3.5,11,Electronic City,Quick Bites,350.00,Delivery
9033,9627,Trisha's Kitchen,Yes,No,3.2,4,Electronic City,"Takeaway, Delivery",300.00,Delivery
9034,9628,Just Homely,Yes,No,0,0,Electronic City,"Takeaway, Delivery",300.00,Delivery
9035,9629,Nandanam Family Restaurant,No,No,3.3,4,Electronic City,Quick Bites,400.00,Delivery
9036,9630,Hello Cafe,No,No,0,0,Electronic City,Quick Bites,200.00,Delivery
9037,9631,Food Point Family Restauarant,Yes,No,3.3,6,Electronic City,Casual Dining,700.00,Delivery
9038,9632,Soul Curry Restaurant,No,No,3.6,18,Electronic City,"Casual Dining, Bar",600.00,Delivery
9039,9633,Time Traveller - Sai Vishram,Yes,No,4.2,882,Electronic City,Casual Dining,1100.00,Delivery
9040,9634,Ragi Nadu,No,No,3.5,13,Electronic City,Quick Bites,450.00,Delivery
9041,9635,Rolls On Wheels,No,No,2.7,23,Electronic City,Quick Bites,300.00,Delivery
9042,9636,Mesa Lounge Bar - Svenska Design Hotel,No,Yes,3.5,49,Electronic City,Lounge,1500.00,Delivery
9043,9637,Pulla Reddy Sweets,No,No,3,22,Electronic City,Dessert Parlor,250.00,Delivery
9044,9638,Food 4 U,No,No,3.6,34,Electronic City,Quick Bites,400.00,Delivery
9045,9639,Half Girlfriend,Yes,No,0,0,Electronic City,Quick Bites,600.00,Delivery
9046,9640,The Hungry,Yes,No,3.6,20,Electronic City,Quick Bites,400.00,Delivery
9047,9641,Green Family Bar & Restaurant,No,No,3,57,Electronic City,Casual Dining,1000.00,Delivery
9048,9642,Chinmayee's,No,No,3.1,83,Electronic City,Casual Dining,700.00,Delivery
9049,9643,Tellimagic Restaurant,Yes,No,3.5,12,Electronic City,Quick Bites,400.00,Delivery
9050,9644,SFC Kabab Corner,No,No,3.6,14,Electronic City,Quick Bites,350.00,Delivery
9051,9645,Royal Chowpatty,No,No,3.7,14,Electronic City,Quick Bites,100.00,Delivery
9052,9646,New Aastha,Yes,No,3.6,34,Electronic City,Quick Bites,250.00,Delivery
9053,9647,Food Club Restaurant,No,No,3.7,45,Electronic City,Casual Dining,500.00,Delivery
9054,9648,Bhojanam Restaurant,No,No,3.6,196,Electronic City,Casual Dining,600.00,Delivery
9055,9649,Ruchie Rich,No,No,3.5,134,Electronic City,Quick Bites,200.00,Delivery
9056,9650,RK Garden Family Restaurant,No,No,3.5,17,Electronic City,Casual Dining,600.00,Delivery
9057,9651,Sai Grand,No,No,0,0,Electronic City,Quick Bites,200.00,Delivery
9058,9652,The Dining Table - Sahar Pavillion,No,Yes,3.7,74,Electronic City,"Casual Dining, Bar",1500.00,Delivery
9059,9653,Vijayawadawari Sandhya Andhra Mess,Yes,No,3.4,10,Electronic City,Quick Bites,400.00,Delivery
9060,9654,Eden Huts Dhaba,No,No,3.6,33,Electronic City,Casual Dining,500.00,Delivery
9061,9655,Silicon Spicy Bite & Sip,No,No,0,0,Electronic City,Quick Bites,200.00,Delivery
9062,9656,Samrudhi,No,No,2.9,18,Electronic City,Casual Dining,450.00,Delivery
9063,9657,Hotel Food Zone,No,No,3.3,9,Electronic City,Quick Bites,350.00,Delivery
9064,9658,NMR Multicuisine Restaurant,Yes,No,3.6,9,Electronic City,Casual Dining,550.00,Delivery
9065,9659,Oasis Restaurant,No,No,2.9,28,Electronic City,Casual Dining,550.00,Delivery
9066,9660,Swad,No,No,3.7,38,Electronic City,Casual Dining,500.00,Delivery
9067,9661,Salt And Spice,No,No,3.2,77,Electronic City,Quick Bites,450.00,Delivery
9068,9662,The Hungry Shark Cafe,No,No,3.9,117,Electronic City,Cafe,700.00,Delivery
9069,9663,Bawarchi,No,No,3,29,Electronic City,Quick Bites,400.00,Delivery
9070,9664,Kinara Family Restaurant,No,No,3.5,11,Electronic City,Casual Dining,600.00,Delivery
9071,9665,Food Planet,No,No,3.1,5,Electronic City,Quick Bites,400.00,Delivery
9072,9666,Bachelor's Special Biriyani,No,No,3.3,6,Electronic City,Quick Bites,250.00,Delivery
9073,9667,E Foods Regalia,No,No,3.1,11,Electronic City,Quick Bites,550.00,Delivery
9074,9668,Malabar Restaurant,No,No,3.6,19,Electronic City,Quick Bites,400.00,Delivery
9075,9669,Andhra Chettinad Cuisine,No,No,3.6,24,Electronic City,Quick Bites,250.00,Delivery
9076,9671,Cake Dilim,No,No,3.2,6,Electronic City,Bakery,400.00,Delivery
9077,9672,The Juice Shop,No,No,0,0,Electronic City,Quick Bites,200.00,Delivery
9078,9673,Reyniks Flavours,No,No,0,0,Electronic City,Quick Bites,150.00,Delivery
9079,9674,Sweet Revenge Bake N Cafe,No,No,0,0,Electronic City,Quick Bites,200.00,Delivery
9080,9675,Cakea,No,No,0,0,Electronic City,Delivery,300.00,Delivery
9081,9676,VMS Star Biriyani,No,No,3.1,5,Electronic City,Quick Bites,350.00,Delivery
9082,9677,MBR Dum Biryani County,No,No,3.5,24,Electronic City,Quick Bites,150.00,Delivery
9083,9678,Desi Breakk,No,No,3.6,29,Electronic City,Quick Bites,150.00,Delivery
9084,9679,Bengaluru Restaurant,No,No,3.1,22,Electronic City,Casual Dining,1500.00,Delivery
9085,9680,S R Andhra Mess,No,No,3.3,16,Electronic City,Mess,200.00,Delivery
9086,9681,Shiv Shankar Hotel,No,No,3.5,10,Electronic City,Quick Bites,350.00,Delivery
9087,9682,Gourmet,No,No,3.5,12,Electronic City,Casual Dining,800.00,Delivery
9088,9683,NightOwl,No,No,2.7,31,Electronic City,"Takeaway, Delivery",400.00,Delivery
9089,9684,Big Apple Restaurant,No,No,3.2,4,Electronic City,Quick Bites,300.00,Delivery
9090,9685,Hotel The Nalanda,No,No,3.2,4,Electronic City,Casual Dining,700.00,Delivery
9091,9686,Pepper Pillar,No,No,3.4,11,Electronic City,Casual Dining,700.00,Delivery
9092,9687,Hotel A-1,No,No,3.3,5,Electronic City,Quick Bites,300.00,Delivery
9093,9688,Andhra Mess,No,No,3.4,8,Electronic City,Mess,200.00,Delivery
9094,9689,Vasu Biriyani Paradise,No,No,3.1,6,Electronic City,Quick Bites,350.00,Delivery
9095,9690,Dilli 6,No,No,3.2,26,Electronic City,Casual Dining,450.00,Delivery
9096,9691,Yum Kitchen,No,No,2.8,29,Electronic City,"Takeaway, Delivery",600.00,Delivery
9097,9692,MK Dabbawala,No,No,3.2,17,Electronic City,Delivery,400.00,Delivery
9098,9693,The Magic Chef,No,No,3.7,28,Electronic City,Quick Bites,300.00,Delivery
9099,9694,Satkar,No,No,3.6,22,Electronic City,Quick Bites,350.00,Delivery
9100,9696,NH7 Resto Pub,No,No,3.3,6,Electronic City,"Casual Dining, Pub",1400.00,Delivery
9101,9697,Hamara Kozhikode,No,No,3.3,5,Electronic City,Quick Bites,300.00,Delivery
9102,9698,New Andhra Spice,No,No,3.3,4,Electronic City,"Takeaway, Delivery",400.00,Delivery
9103,9699,New Green Leaf Restaurant,No,No,3.6,42,Electronic City,Casual Dining,600.00,Delivery
9104,9700,Bhukkad,No,No,3.3,7,Electronic City,Quick Bites,250.00,Delivery
9105,9701,Eatsy,No,No,3.5,12,Electronic City,"Takeaway, Delivery",300.00,Delivery
9106,9702,Xpress Kitchen,No,No,3.3,8,Electronic City,"Takeaway, Delivery",500.00,Delivery
9107,9703,Chikeys,No,No,3,19,Electronic City,Quick Bites,400.00,Delivery
9108,9704,Momm's The Kitchen,No,No,3.4,7,Electronic City,Casual Dining,500.00,Delivery
9109,9705,The Three Dragons,No,No,3.3,5,Electronic City,Delivery,400.00,Delivery
9110,9706,Zaffron Express,No,No,3.5,8,Electronic City,Casual Dining,550.00,Delivery
9111,9707,Hungry Kya?,No,No,3.3,8,Electronic City,Quick Bites,400.00,Delivery
9112,9708,Hunter's Lounge,No,No,3.1,9,Electronic City,Casual Dining,500.00,Delivery
9113,9709,Polo Scoops,No,No,3.2,4,Electronic City,Dessert Parlor,200.00,Delivery
9114,9710,Green Tree Garden Restaurant,No,No,3.4,6,Electronic City,Casual Dining,500.00,Delivery
9115,9711,Till The Last Bite,No,No,3.4,7,Electronic City,Quick Bites,300.00,Delivery
9116,9712,Sattvic,No,No,3.5,11,Electronic City,Casual Dining,450.00,Delivery
9117,9713,Old Stories,No,No,3.7,29,Electronic City,Delivery,600.00,Delivery
9118,9714,Ham Khim Chinese Fast Food,No,No,3.1,7,Electronic City,Quick Bites,300.00,Delivery
9119,9715,Mast Kalandar,No,No,2.4,142,Electronic City,Casual Dining,450.00,Delivery
9120,9717,HOT BOX,No,No,3.6,28,Electronic City,Quick Bites,200.00,Delivery
9121,9718,4Foodiez - The Restaurant,No,No,3,23,Electronic City,Quick Bites,400.00,Delivery
9122,9719,Biriyani Paradise,No,No,3.5,18,Electronic City,Casual Dining,550.00,Delivery
9123,9720,Marwa Family Restaurant,No,No,3,8,Electronic City,Quick Bites,500.00,Delivery
9124,9721,Tasty Funda,No,No,3.3,4,Electronic City,Quick Bites,200.00,Delivery
9125,9722,Pugals Biriyani,No,No,3.6,25,Electronic City,Quick Bites,400.00,Delivery
9126,9723,Enroute,No,No,3.6,31,Electronic City,"Takeaway, Delivery",300.00,Delivery
9127,9724,Lancy Sweets,No,No,3.7,16,Electronic City,Dessert Parlor,200.00,Delivery
9128,9725,SV Crispy Chicken,No,No,3.5,12,Electronic City,Quick Bites,200.00,Delivery
9129,9726,Choconut Cafe,No,No,3.4,6,Electronic City,Quick Bites,250.00,Delivery
9130,9727,Rara Avis,No,No,0,0,Electronic City,"Takeaway, Delivery",400.00,Delivery
9131,9728,Clean Eats,No,No,0,0,Electronic City,"Takeaway, Delivery",300.00,Delivery
9132,9729,Shaadi Ki Biryani,No,No,0,0,Electronic City,"Takeaway, Delivery",600.00,Delivery
9133,9730,Arzak,No,No,0,0,Electronic City,"Takeaway, Delivery",300.00,Delivery
9134,9731,Desi Tadka,No,No,3,16,Electronic City,Quick Bites,300.00,Delivery
9135,9732,FAB Cafe,No,No,3.1,7,Electronic City,Quick Bites,250.00,Delivery
9136,9733,Spicy Tadka,No,No,3.5,47,Electronic City,Delivery,400.00,Delivery
9137,9734,Adya Hotel,No,No,3.3,4,Electronic City,Quick Bites,400.00,Delivery
9138,9735,The US Burger,No,No,3,13,Electronic City,Quick Bites,150.00,Delivery
9139,9736,Pehla Niwala,No,No,2.8,41,Electronic City,Quick Bites,400.00,Delivery
9140,9737,The Lemon Grass Kitchen,No,No,3.3,5,Electronic City,Quick Bites,300.00,Delivery
9141,9738,Bite Sip Repeat,No,No,3.4,6,Electronic City,Quick Bites,150.00,Delivery
9142,9739,Andhra Ruchulu,No,No,3.3,5,Electronic City,Quick Bites,250.00,Delivery
9143,9740,Chef Delicacies,No,No,0,0,Electronic City,"Takeaway, Delivery",400.00,Delivery
9144,9741,Kulhad Junction,No,No,0,0,Electronic City,Cafe,100.00,Delivery
9145,9742,Flavors Restaurant,No,No,0,0,Electronic City,"Takeaway, Delivery",150.00,Delivery
9146,9743,Star Briyani,No,No,0,0,Electronic City,Quick Bites,200.00,Delivery
9147,9744,Nawabi Kitchen,No,No,0,0,Electronic City,Casual Dining,600.00,Delivery
9148,9745,Namma Atithi,No,No,0,0,Electronic City,Quick Bites,200.00,Delivery
9149,9746,Sandwich Jn,No,No,0,0,Electronic City,Quick Bites,150.00,Delivery
9150,9747,Flavour A Azam,No,No,3.5,42,Electronic City,Quick Bites,400.00,Delivery
9151,9748,Bawarchi Restaurant,No,No,3.1,4,Electronic City,Casual Dining,700.00,Delivery
9152,9749,Curries And Pickles,No,No,3.6,17,Electronic City,Quick Bites,400.00,Delivery
9153,9750,Bhaiya Ji Food Court,No,No,3.5,8,Electronic City,Quick Bites,300.00,Delivery
9154,9751,Chung Wah,No,No,2.9,95,Electronic City,Casual Dining,500.00,Delivery
9155,9753,Xpress Chai,No,No,0,0,Electronic City,"Beverage Shop, Quick Bites",150.00,Delivery
9156,9754,Eat Repeat Express,No,No,3.1,4,Electronic City,Delivery,600.00,Delivery
9157,9755,Mustard Food Court,No,No,3.8,57,Electronic City,Quick Bites,500.00,Delivery
9158,9756,Cafe Black Pepper,No,No,0,0,Electronic City,Quick Bites,200.00,Delivery
9159,9757,Chokha Zaika,No,No,0,0,Electronic City,Quick Bites,300.00,Delivery
9160,9758,Vijayawadavari Sandya Andhra Mess,Yes,No,3.6,18,Electronic City,Mess,200.00,Delivery
9161,9759,E - City Combos,Yes,No,3.5,6,Electronic City,"Takeaway, Delivery",350.00,Delivery
9162,9760,Hide Out - The Golden Tulip,Yes,No,3.2,9,Electronic City,Bar,1800.00,Delivery
9163,9761,Vyanjan,Yes,No,3.3,12,Electronic City,Quick Bites,400.00,Delivery
9164,9762,TeamDelish,No,No,3.4,9,Electronic City,Delivery,300.00,Delivery
9165,9763,Rags on Fire,Yes,No,3.1,64,Electronic City,Cafe,600.00,Delivery
9166,9764,Brunch & Munch - Hotel Millennium Plaza,No,No,3.5,23,Electronic City,Casual Dining,1200.00,Delivery
9167,9765,Shoiab Family Restaurant,Yes,No,3.6,14,Electronic City,Casual Dining,600.00,Delivery
9168,9766,Pandit Ji Sweets & Namkeen,Yes,No,3.6,13,Electronic City,Sweet Shop,300.00,Delivery
9169,9767,Ramdev Bhojnalaya,No,No,3,29,Electronic City,Quick Bites,200.00,Delivery
9170,9768,Bangalore Cakes,Yes,No,2.9,17,Electronic City,Bakery,250.00,Delivery
9171,9769,Village Palace,Yes,No,3,46,Electronic City,Quick Bites,250.00,Delivery
9172,9770,Hotel Masti,Yes,No,2.8,25,Electronic City,Delivery,300.00,Delivery
9173,9771,Milkshake Kulture,No,No,3.5,10,Electronic City,Beverage Shop,300.00,Delivery
9174,9772,Krutunga Restaurant,No,No,3.4,20,Electronic City,Casual Dining,700.00,Delivery
9175,9773,The Kitchen,Yes,No,3.7,28,Electronic City,"Takeaway, Delivery",250.00,Delivery
9176,9774,Choco Nut Cafe,Yes,No,3.2,19,Electronic City,Quick Bites,150.00,Delivery
9177,9775,Adyar Anand Bhavan Sweets,No,No,0,0,Electronic City,Quick Bites,200.00,Delivery
9178,9777,Kairali Restaurant,Yes,No,3.4,19,Electronic City,Quick Bites,400.00,Delivery
9179,9778,Grilliez,No,No,0,0,Electronic City,"Takeaway, Delivery",400.00,Delivery
9180,9779,Kanti Sweets,Yes,No,3.6,16,Electronic City,Sweet Shop,400.00,Delivery
9181,9780,Kadhai Tadka family Restaurant,No,No,0,0,Electronic City,Quick Bites,400.00,Delivery
9182,9781,Food Lover,No,No,0,0,Electronic City,"Takeaway, Delivery",300.00,Delivery
9183,9782,The Hyderbadi Chefs,Yes,No,3.4,4,Electronic City,Quick Bites,400.00,Delivery
9184,9783,Bhojan@99,Yes,No,0,0,Electronic City,"Takeaway, Delivery",200.00,Delivery
9185,9784,Adarsh Bakery,No,No,3.1,10,Electronic City,Bakery,300.00,Delivery
9186,9785,Cafe HIGHRANGERS,Yes,No,3.3,4,Electronic City,Cafe,400.00,Delivery
9187,9786,The Duke of Juices,No,No,0,0,Electronic City,"Takeaway, Delivery",200.00,Delivery
9188,9787,Basmati's Briyani Nation,Yes,No,0,0,Electronic City,"Takeaway, Delivery",350.00,Delivery
9189,9788,Soul Indian Specialty - Svenska Design Hotel,Yes,Yes,3.7,266,Electronic City,Fine Dining,2000.00,Delivery
9190,9789,Onesta,Yes,Yes,4.5,863,Electronic City,"Casual Dining, Cafe",600.00,Desserts
9191,9790,Cakes Wagon,Yes,No,3.3,37,Electronic City,Bakery,600.00,Desserts
9192,9791,MAD Belgian Waffles,Yes,No,3.8,12,Electronic City,Dessert Parlor,250.00,Desserts
9193,9792,Apsara Ice Cream,No,No,4,67,Electronic City,Dessert Parlor,200.00,Desserts
9194,9793,The Platonic Cafe,Yes,No,0,0,Electronic City,Cafe,500.00,Desserts
9195,9794,Laddoos,No,No,2.8,124,Electronic City,"Quick Bites, Dessert Parlor",250.00,Desserts
9196,9795,NY Pizza & Waffles,Yes,No,3.1,273,Electronic City,Quick Bites,400.00,Desserts
9197,9796,Thanco's Natural Ice Creams,Yes,No,3.7,54,Electronic City,Dessert Parlor,450.00,Desserts
9198,9797,Baskin Robbins,Yes,No,3.8,108,Electronic City,Food Court,250.00,Desserts
